gene,Kidney_T0-1.counts.rev.txt,Kidney_T0-2.counts.rev.txt,Kidney_T12.counts.rev.txt,Kidney_T24.counts.rev.txt,Kidney_T48.counts.rev.txt
GLYCTK,5116.740914,6124.120028,998.579872,1913.995503,1647.752399
GLYR1,3251.015596,2630.836465,3289.701576,2635.069805,2770.438853
GM2A,1593.191539,1594.408684,2191.352797,2800.038833,4346.59135
GMDS,5073.65257,5794.79945,3624.640053,3977.88222,3965.679875
GMEB1,1194.624352,1110.99093,990.5627276,861.2092832,938.4360416
GMEB2,647.4023768,718.2916754,661.8598081,475.3946198,510.7459636
GMFB,4918.53453,4447.691879,9346.208757,6720.270586,6824.902606
GMFG,322.0853755,333.0487353,627.1188491,792.0287229,1541.784544
GMIP,4.308834454,6.213595808,19.59746404,15.96474469,19.09330705
GMNC,448.1187832,449.8643365,107.7860522,141.0219115,231.9836807
GMNN,2038.078697,1980.894344,1349.552637,1296.692041,1532.237891
GMPPA,1491.93393,1742.292265,1527.711401,1475.851954,1532.237891
GMPR2,19927.28214,19274.5742,9167.159199,11426.32255,9361.448447
GMPS,3396.438759,3324.273757,4535.92213,4001.829337,4444.921882
GNA11,3908.11285,3965.516845,5044.565401,4855.943178,3919.855938
GNA12,2619.771348,2454.370344,3139.157421,3101.595122,3761.381489
GNA13,4413.32369,4040.079994,6033.346541,4541.082935,4422.009913
GNA14,902.7008182,729.4761479,743.8128395,1201.790503,1476.8673
GNA15,95.87156661,99.41753293,116.6939904,134.8133996,211.9357083
GNAI1,3393.207133,3569.089432,6585.63871,7312.74,6165.228847
GNAI2,5858.937649,6161.401603,9037.994096,9182.38899,10995.83553
GNAI3,11437.80106,11563.5018,10332.31752,10268.87856,9971.479608
GNAL,1.077208614,1.242719162,8.017144378,0.886930261,1.909330705
GNAO1,21.54417227,27.33982155,8.907938198,13.30395391,19.09330705
GNAQ,1808.633262,1284.971613,1911.643537,1893.596107,1979.021276
GNAT1,30.16184118,39.76701317,220.9168673,78.93679321,43.91460622
GNAT2,0,0,0,0,0
GNAT3,10.77208614,8.699034131,2.672381459,9.756232869,9.546653526
GNAZ,194.9747591,247.3011132,624.4464677,481.6031316,328.4048813
GNB1,16776.44695,17086.14575,13949.83122,16362.97638,17781.59686
GNB1L,901.6236096,879.8451664,1238.203409,1122.85371,991.8973013
GNB2,7044.944333,8367.228115,9893.156163,10179.2986,10406.80701
GNB3,23.6985895,26.09710239,27.61460841,27.49483808,41.05061016
GNB4,1622.276172,956.8937544,2108.508971,2264.332956,2837.265428
GNB5,3594.645143,3452.273831,3145.392978,2805.360415,2722.705586
GNE,965.1789178,908.4277071,1001.252253,1015.535149,907.8867503
GNG10,5968.812928,7514.72277,14911.88854,9801.466312,8197.711383
GNG13,0,0,0,0,0
GNG8,1.077208614,2.485438323,9.798732018,0.886930261,0
GNGT1,1.077208614,2.485438323,2.672381459,8.869302608,12.41064958
GNL1,3050.654794,3280.778587,3791.218497,2738.840645,3528.443143
GNL2,2015.457316,1896.389441,2462.154118,2075.41681,1998.114583
GNL3,1598.577583,1688.855341,5545.191528,2651.92148,3215.312908
GNL3L,5467.910922,5154.799082,5076.633979,4470.128514,4131.791646
GNLY,557.9940618,734.4470245,34.74095897,52.32888539,22.91196846
GNMT,656.0200457,745.631497,1394.092328,1449.244046,597.6205107
GNPAT,2210.432075,2357.43825,2143.24993,2333.513516,2259.69289
GNPDA1,6556.968831,7125.751673,3005.538348,3816.460912,3973.317197
GNPDA2,1934.66667,2168.544937,2105.83659,2133.954207,2358.023421
